ticket_id,pnr,passenger_name,route,start_station,end_station,travel_date,booking_date,class,seat,price,currency,ticket_type,booking_channel,days_until_travel,price_per_km,booking_frequency,time_taken_sec,login_frequency,device_type,ip_change_flag,is_fraud
1,IX12417080,Vritti Sharma,Indore → Amritsar,Indore,Amritsar,2025-03-17,2025-01-30,Economy,4B,3746.84,INR,flight,official_app,46,6.383,4,116,5,desktop,0,0
2,MT11065749,Lakshmi Mane,Ahmedabad → Bhubaneswar,Ahmedabad,Bhubaneswar,2026-05-03,2026-03-22,General,S43,1698.26,INR,bus,official_website,42,1.2342,5,86,1,desktop,0,0
3,VM95996581,Gunbir Kakar,Bhubaneswar → Mangalore,Bhubaneswar,Mangalore,2027-02-05,2026-11-28,Economy,25B,6840.72,INR,flight,official_website,69,5.6488,2,65,1,tablet,0,0
4,XA93919996,Onveer Virk,Mysore → Coimbatore,Mysore,Coimbatore,2025-11-27,2025-09-04,Business,27E,483.07,INR,flight,dark_web,84,2.4154,18,4,5,unknown,1,1
5,9917578283,Osha Dutt,Patna → Hyderabad,Patna,Hyderabad,2026-07-03,2026-06-09,Economy,30A,2976.23,INR,flight,official_website,24,6.7184,10,29,1,unknown,1,1
6,#A1B331,Arjun Shukla,Bangalore → Delhi,Bangalore,Delhi,2026-01-16,2026-01-02,General,4D,1048.16,INR,train,official_website,14,0.4875,10,18,4,mobile,1,1
7,LT89473271,Charles Dhar,Jodhpur → Kochi,Jodhpur,Kochi,2025-10-09,2025-08-07,Sleeper,S39,55.54,INR,bus,dark_web,63,0.2709,14,5,5,unknown,1,1
8,HC73483900,Adya Sridhar,Amritsar → Kochi,Amritsar,Kochi,2026-06-05,2026-03-18,Sleeper,S39,800.68,INR,bus,official_website,79,1.8115,1,34,3,desktop,0,0
9,DR44928555,Arya Rout,Jodhpur → Kolkata,Jodhpur,Kolkata,2026-09-13,2026-07-04,AC 3 Tier,53D,178.68,INR,train,official_app,71,0.2496,9,29,1,desktop,0,1
10,#3A112D,William Gopal,Lucknow → Agra,Lucknow,Agra,2026-06-19,2026-04-13,AC 2 Tier,9B,933.03,INR,train,reseller,67,2.5217,3,87,1,tablet,1,1
11,OL31239335,Prisha Nigam,Udaipur → Goa,Udaipur,Goa,2027-01-08,2026-12-29,Sleeper,62C,850.69,INR,train,reseller,10,0.9526,5,116,5,mobile,0,1
12,MT01608282,Sneha Varghese,Bangalore → Mysore,Bangalore,Mysore,2027-02-03,2026-12-11,AC Sleeper,S41,417.36,INR,bus,official_app,54,2.7824,4,86,9,desktop,0,0
13,IC64069020,Onkar Golla,Chandigarh → Mysore,Chandigarh,Mysore,2026-10-17,2026-07-22,AC 3 Tier,62C,2228.31,INR,train,official_website,87,1.7518,3,70,4,desktop,0,0
14,VG26787339,Imaran Soman,Goa → Jodhpur,Goa,Jodhpur,2026-03-13,2025-12-19,First Class,34C,2619.39,INR,train,official_website,84,3.393,4,76,2,mobile,1,1
